,budget,revenue,runtime,title,critics_pick,sentiment_polarity,is_action,is_adventure,is_fantasy,is_science_fiction,is_crime,is_drama,is_thriller,is_animation,is_family,is_western,is_comedy,is_romance,is_horror,is_mystery,is_history,is_war,is_music,is_documentary,rating_g,rating_nc_seventeen,rating_pg,rating_pg_thirteen,rating_r,cast_score,director_score
25,217.4813218056961,1130.2867767668283,165.0,Transformers: Age of Extinction,0.0,-1.1516995595657864,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.147563713498924,0.34545454545454546
26,210.46354019662868,517.6019796172769,130.0,Oz: The Great and Powerful,0.0,1.2738747247818,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.2754497459999996,0.49090909090909096
27,207.12506838637722,730.8588568222925,142.0,The Amazing Spider-Man 2,0.0,0.45400643925590983,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.8181092450369407,0.0
28,191.09686826680633,449.7102418792092,125.0,TRON: Legacy,0.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.254712594291902,0.0
29,217.9761518386292,610.1723543885819,106.0,Cars 2,0.0,0.42576337059424063,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.2533254988162865,0.0
30,217.9761518386292,239.61156224886295,114.0,Green Lantern,0.0,-1.034149151548958,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.9680162303240982,0.0
31,224.81984501977217,1199.3798163462616,103.0,Toy Story 3,1.0,0.8591688967674466,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.817874269,0.0
32,210.46354019662868,559.6909540333995,116.0,World War Z,0.0,0.208359517760724,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0881,0.0
33,199.94036318679724,491.8167211901413,132.0,Star Trek Into Darkness,0.0,0.4804182750174365,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.2171316509907038,0.0
34,205.20195169171296,208.03016390182836,114.0,Jack the Giant Slayer,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9332130000000001,0.6727272727272727
35,110.49335860323005,369.4060466742394,143.0,The Great Gatsby,0.0,0.7257051736294687,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.97554128,0.0
36,168.61488376482913,376.7470744845853,116.0,Prince of Persia: The Sands of Time,0.0,0.28983979281509015,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.765861,0.0
37,189.41718617696583,428.9277529559683,131.0,Pacific Rim,0.0,-0.04921310200783739,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.09344435,0.0
38,212.52674804266348,1224.7502291414974,154.0,Transformers: Dark of the Moon,0.0,-0.9500302426815763,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.152412166188,0.34545454545454546
39,210.68462643594725,895.849290560327,122.0,Indiana Jones and the Kingdom of the Crystal Skull,0.0,0.5497510941000657,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.1895215020000003,0.8909090909090909
40,181.01553212070834,343.3359321370369,93.0,The Good Dinosaur,1.0,1.2591684534847865,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8718781639567507,0.0
