,byline,critics_pick,date_updated,display_title,headline,link.suggested_link_text,link.type,link.url,mpaa_rating,multimedia,multimedia.height,multimedia.src,multimedia.type,multimedia.width,opening_date,publication_date,summary_short
1,NEIL GENZLINGER,1,2017-11-02 04:18:17,The History of Future Folk,Fate of the Earth Rests on a Banjo,Read the New York Times Review of The History of Future Folk,article,http://www.nytimes.com/2013/05/31/movies/the-history-of-future-folk.html,,,140.0,https://static01.nyt.com/images/2013/05/31/arts/31RDP-HISTORY_SPAN/HISTORY-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2013-05-31,2013-05-30,"In “The History of Future Folk,” music-loving space aliens are on a mission to invade Earth."
2,STEPHEN HOLDEN,1,2017-11-02 04:18:17,La Camioneta: The Journey of One American School Bus,"Retired in America, Reborn in Guatemala",Read the New York Times Review of La Camioneta: The Journey of One American School Bus,article,http://www.nytimes.com/2013/05/31/movies/la-camioneta-the-journey-of-one-american-school-bus.html,,,140.0,https://static01.nyt.com/images/2013/05/31/arts/31CAMIONETA_SPAN/CAMIONETA-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2013-05-31,2013-05-30,The documentary “La Camioneta” follows the journey of a decommissioned American school bus as it travels from Virginia to Guatemala.
3,NICOLAS RAPOLD,0,2017-11-02 04:18:16,Sirius,About Those Visitors From Other Planets,Read the New York Times Review of Sirius,article,http://www.nytimes.com/2013/05/31/movies/sirius-a-documentary-directed-by-amardeep-kaleka.html,,,140.0,https://static01.nyt.com/images/2013/05/31/arts/31RDP-SIRIUS_SPAN/31RDP-SIRIUS_SPAN-mediumThreeByTwo210-v2.jpg,mediumThreeByTwo210,210.0,2013-04-24,2013-05-30,"“Sirius,” a documentary by Amardeep Kaleka, seeks to induce government transparency about extraterrestrial life."
4,STEPHEN HOLDEN,0,2017-11-02 04:18:17,Now You See Me,"Suspending Disbelief, as 4 Flee Handcuffs",Read the New York Times Review of Now You See Me,article,http://www.nytimes.com/2013/05/31/movies/now-you-see-me-directed-by-louis-leterrier.html,PG-13,,140.0,https://static01.nyt.com/images/2013/05/31/arts/31NOWYOU1_SPAN/NOWYOU1-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2013-05-31,2013-05-30,"“Now You See Me,” directed by Louis Leterrier, follows the exploits of a criminal group of magicians as they are pursued by a dogged F.B.I. agent."
5,MANOHLA DARGIS,0,2017-11-02 04:18:17,After Earth,A Father-Son Outing Goes Terribly Wrong,Read the New York Times Review of After Earth,article,http://www.nytimes.com/2013/05/31/movies/after-earth-starring-will-smith-and-jaden-smith.html,PG-13,,,,,,2013-05-31,2013-05-30,"“After Earth,” the Will Smith-Jaden Smith vehicle directed by M. Night Shyamalan, a boy and his dad crash-land on a planet that their ancestors ruined and fled."
6,A. O. SCOTT,1,2017-11-02 04:18:17,Before Midnight,"Nine Years Later, Once More",Read the New York Times Review of Before Midnight,article,http://www.nytimes.com/2013/05/24/movies/before-midnight-with-julie-delpy-and-ethan-hawke.html,R,,,,,,2013-06-14,2013-05-23,“Before Midnight” follows the continuing romance of characters played by Julie Delpy and Ethan Hawke in the third film in a series directed by Richard Linklater.
7,NEIL GENZLINGER,0,2017-11-02 04:18:16,Fast & Furious 6,"Do They Want to Go Faster? Yes, Indeed",Read the New York Times Review of Fast & Furious 6,article,http://www.nytimes.com/2013/05/24/movies/fast-furious-6-with-vin-diesel-and-dwayne-johnson.html,PG-13,,140.0,https://static01.nyt.com/images/2013/05/24/arts/24FAST_SPAN/FAST-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2013-05-24,2013-05-23,"It’s a flipomania of cars when the boys reunite in “Fast & Furious 6,” starring Vin Diesel, Dwayne Johnson and Michelle Rodriguez."
8,STEPHEN HOLDEN,0,2017-11-02 04:18:16,Epic,Tiny Folk in a Big War of Good Versus Evil,Read the New York Times Review of Epic,article,http://www.nytimes.com/2013/05/24/movies/epic-directed-by-chris-wedge.html,PG,,140.0,https://static01.nyt.com/images/2013/05/24/arts/24EPIC2ALT/24EPIC2ALT-mediumThreeByTwo210-v2.jpg,mediumThreeByTwo210,210.0,2013-05-24,2013-05-23,"“Epic,” a 3-D adventure directed by Chris Wedge, is a hymn to nature geared to families."
9,STEPHEN HOLDEN,0,2017-11-02 04:18:16,The Hangover Part III,"Yet Another Road Trip, and More Roadkill",Read the New York Times Review of The Hangover Part III,article,http://www.nytimes.com/2013/05/23/movies/the-hangover-part-iii-with-bradley-cooper-and-ed-helms.html,R,,140.0,https://static01.nyt.com/images/2013/05/23/arts/23HANGOVER/23HANGOVER-mediumThreeByTwo210-v2.jpg,mediumThreeByTwo210,210.0,2013-05-23,2013-05-22,Four of the unlikeliest on-the verge-of-middle-age buddies ever to join forces in search of adventure come together for the final edition of the “Hangover” trilogy.
10,NEIL GENZLINGER,0,2017-11-02 04:18:16,3 Geezers!,Nursing Home or Frat House?,Read the New York Times Review of 3 Geezers!,article,http://www.nytimes.com/2013/05/22/movies/3-geezers-directed-by-michelle-schumacher.html,,,140.0,https://static01.nyt.com/images/2013/05/21/movies/geezers/geezers-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2013-05-22,2013-05-21,In Michelle Schumacher’s “3 Geezers!” old people are living it up in their golden years.
11,RACHEL SALTZ,0,2017-11-02 04:18:16,Aurangzeb,Blood Despite Kinship,Read the New York Times Review of Aurangzeb,article,http://www.nytimes.com/2013/05/20/movies/aurangzeb-directed-by-atul-sabharwal.html,Not Rated,,140.0,https://static01.nyt.com/images/2013/05/20/arts/aurangzed/aurangzed-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2013-05-17,2013-05-19,"“Aurangzeb” weaves Bollywood tropes — twins separated as babies, parent-child reunions, crosses and double-crosses — with contemporary outrage at the rules of the game."
12,ANDY WEBSTER,1,2017-11-02 04:18:16,Valentino's Ghost,"Hollywood Does Arabia, From A to B",Read the New York Times Review of Valentino's Ghost,article,http://www.nytimes.com/2013/05/17/movies/valentinos-ghost-a-documentary-by-michael-singh.html,,,140.0,https://static01.nyt.com/images/2013/05/17/arts/17VALENTINO_SPAN/17VALENTINO_SPAN-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2013-05-17,2013-05-16,Michael Singh’s documentary “Valentino’s Ghost” looks at the intersection of Western politics in the Middle East and Hollywood’s depiction of Arabs.
13,NEIL GENZLINGER,0,2017-11-02 04:18:16,Black Rock,"Just Us Girls, They Thought. Oops.",Read the New York Times Review of Black Rock,article,http://www.nytimes.com/2013/05/17/movies/black-rock-directed-by-katie-aselton.html,R,,140.0,https://static01.nyt.com/images/2013/05/17/arts/17RDP_BLACKROCK_SPAN/FILMROUNDUP1-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2013-05-17,2013-05-16,"In “Black Rock,” three young women decide to reconnect on an isolated island in Maine, only to find themselves running for their lives."
14,A. O. SCOTT,0,2017-11-02 04:18:16,Star Trek Into Darkness,"Kirk and Spock, in Their Roughhousing Days",Read the New York Times Review of Star Trek Into Darkness,article,http://www.nytimes.com/2013/05/16/movies/star-trek-into-darkness-directed-by-j-j-abrams.html,PG-13,,,,,,2013-05-16,2013-05-15,"In “Star Trek Into Darkness,” the U.S.S. Enterprise crew hunts for a terrorist in the latest film in the franchise."
15,JEANNETTE CATSOULIS,1,2017-11-02 04:18:16,The Girls in the Band,Playing Jazz in High Heels and Skirts,Read the New York Times Review of The Girls in the Band,article,http://www.nytimes.com/2013/05/10/movies/the-girls-in-the-band-a-documentary-by-judy-chaikin.html,,,140.0,https://static01.nyt.com/images/2013/05/10/arts/10RDP_GIRLS_SPAN/FILMROUNDUP1-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2013-05-10,2013-05-09,“The Girls in the Band” tells the story of women faced with racism and sexist male musicians in the 1930s and ’40s.
16,ANITA GATES,0,2017-11-02 04:18:16,The Painting,"From an Unfinished Canvas, a World Springs to Life",Read the New York Times Review of The Painting,article,http://www.nytimes.com/2013/05/10/movies/the-painting-directed-by-jean-francois-laguionie.html,,,140.0,https://static01.nyt.com/images/2013/05/10/arts/10RDP_THEPAINTING_SPAN/FILMROUNDUP2-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2013-05-10,2013-05-09,“The Painting” is an animated film populated by characters living inside an unfinished canvas who go in search of their creator.
17,A. O. SCOTT,0,2017-11-02 04:18:16,The Great Gatsby,Shimmying Off the Literary Mantle,Read the New York Times Review of The Great Gatsby,article,http://www.nytimes.com/2013/05/10/movies/the-great-gatsby-interpreted-by-baz-luhrmann.html,PG-13,,,,,,2013-05-10,2013-05-09,"In detail and dialogue “The Great Gatsby” largely adheres faithfully to F. Scott Fitzgerald’s novel, but Baz Luhrmann has colored it lavishly with his feel for the era."
18,MANOHLA DARGIS,0,2017-11-02 04:18:16,Sightseers,"These Two Really Need a Vacation, So Beware",Read the New York Times Review of Sightseers,article,http://www.nytimes.com/2013/05/10/movies/sightseers-with-alice-lowe-and-steve-oram.html,Not Rated,,140.0,https://static01.nyt.com/images/2013/05/09/movies/wheatley-video-image-new/wheatley-video-image-new-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2013-05-10,2013-05-09,"In the comedy “Sightseers,” a couple of Britons take a sometimes violent vacation."
19,ANDY WEBSTER,0,2017-11-02 04:18:16,Peeples,How Not to Impress Your Girlfriend’s Snobby Family,Read the New York Times Review of Peeples,article,http://www.nytimes.com/2013/05/10/movies/peeples-with-kerry-washington-and-david-alan-grier.html,PG-13,,140.0,https://static01.nyt.com/images/2013/05/10/arts/10RDP_PEEPLES_SPAN/FILMROUNDUP4-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2013-05-10,2013-05-09,"In “Peeples,” directed by Tina Gordon Chism and “presented” by Tyler Perry, an upper-crust black family in Sag Harbor, N.Y., has plenty of secrets to hide."
0,JEANNETTE CATSOULIS,0,2017-11-02 04:18:16,No One Lives,A Night in Louisiana Can Be Harrowing,Read the New York Times Review of No One Lives,article,http://www.nytimes.com/2013/05/10/movies/no-one-lives-by-ryuhei-kitamura.html,R,,140.0,https://static01.nyt.com/images/2013/05/10/arts/10RDP_NOONE_SPAN/10RDP_NOONE_SPAN-mediumThreeByTwo210-v2.jpg,mediumThreeByTwo210,210.0,2013-05-10,2013-05-09,"In “No One Lives,” a gang of hillbillies attacks a stranger, who proves not to be an easy mark."
1,ANDY WEBSTER,0,2017-11-02 04:18:16,He's Way More Famous Than You,"After the Breakup, the Revenge Movie",Read the New York Times Review of He's Way More Famous Than You,article,http://www.nytimes.com/2013/05/10/movies/hes-way-more-famous-than-you-directed-by-michael-urie.html,Not Rated,,140.0,https://static01.nyt.com/images/2013/05/10/arts/10RDP_HESWAY_SPAN/10RDP_HESWAY_SPAN-mediumThreeByTwo210-v2.jpg,mediumThreeByTwo210,210.0,2013-05-10,2013-05-09,In “He’s Way More Famous Than You” a fallen starlet is dumped by her filmmaker boyfriend.
2,STEPHEN HOLDEN,0,2017-11-02 04:18:16,And Now a Word From Our Sponsor,A Mad Man Someone Should Hire,Read the New York Times Review of And Now a Word From Our Sponsor,article,http://www.nytimes.com/2013/05/10/movies/and-now-a-word-from-our-sponsor-with-bruce-greenwood.html,,,140.0,https://static01.nyt.com/images/2013/05/10/arts/10ANDNOW_SPAN/10ANDNOW_SPAN-mediumThreeByTwo210-v2.jpg,mediumThreeByTwo210,210.0,2013-05-10,2013-05-09,"In “And Now a Word From Our Sponsor,” an ad executive is reduced to speaking only in slogans."
3,DAVID DeWITT,0,2017-11-02 04:18:15,One Track Heart: The Story of Krishna Das,A Spiritual and Musical Journey,Read the New York Times Review of One Track Heart: The Story of Krishna Das,article,http://www.nytimes.com/2013/05/08/movies/one-track-heart-the-story-of-krishna-das-a-documentary.html,Not Rated,,,,,,2012-06-17,2013-05-07,“One Track Heart: The Story of Krishna Das” is a documentary about this singer of the Indian devotional music called kirtan.
4,A. O. SCOTT,1,2017-11-02 04:18:16,What Maisie Knew,"Adult Head Games, Focused on a Child",Read the New York Times Review of What Maisie Knew,article,http://www.nytimes.com/2013/05/03/movies/what-maisie-knew-stars-julianne-moore-and-steve-coogan.html,R,,,,,,2013-05-03,2013-05-02,"“What Maisie Knew,” an adaptation of the Henry James short novel, is about a young girl caught in a custody battle between her mother and father."
5,ANDY WEBSTER,0,2017-11-02 04:18:16,Scatter My Ashes at Bergdorf's,Celebrating Conspicuous Consumption,Read the New York Times Review of Scatter My Ashes at Bergdorf's,article,http://www.nytimes.com/2013/05/03/movies/scatter-my-ashes-at-bergdorfs-directed-by-matthew-miele.html,PG-13,,,,,,2013-05-03,2013-05-02,"In “Scatter My Ashes at Bergdorf’s,” stars dutifully pay tribute to Bergdorf Goodman, the high-end Manhattan department store."
6,JEANNETTE CATSOULIS,0,2017-11-02 04:18:16,Kiss of the Damned,Even Vegan Vampires Can’t Hold Out,Read the New York Times Review of Kiss of the Damned,article,http://www.nytimes.com/2013/05/03/movies/kiss-of-the-damned-directed-by-xan-cassavetes.html,R,,,,,,2013-05-03,2013-05-02,"“Kiss of the Damned,” directed by Xan Cassavetes, introduces a strain of vampires who try to swear off humans and drink only blood substitutes."
7,MANOHLA DARGIS,0,2017-11-02 04:18:16,Iron Man 3,"Bang, Boom: Terrorism as a Game",Read the New York Times Review of Iron Man 3,article,http://www.nytimes.com/2013/05/03/movies/iron-man-3-with-robert-downey-jr.html,PG-13,,,,,,2013-05-03,2013-05-02,"“Iron Man 3,” with all its explosions so soon after the Boston Marathon bombings, underscores just how thoroughly terrorism and its aftermath have been colonized by the movies."
8,NICOLAS RAPOLD,0,2017-11-02 04:18:16,Free the Mind,Agony Eased by a Gentle Art,Read the New York Times Review of Free the Mind,article,http://www.nytimes.com/2013/05/03/movies/free-the-mind-directed-by-phie-ambo.html,Not Rated,,,,,,2013-05-03,2013-05-02,"“Free the Mind,” a documentary directed by Phie Ambo, explores how meditation and exercises can be used to alleviate post-traumatic stress."
9,JEANNETTE CATSOULIS,0,2017-11-02 04:18:16,Dead Man's Burden,"Plenty of Dust, Bullets and Relationship Drama",Read the New York Times Review of Dead Man's Burden,article,http://www.nytimes.com/2013/05/03/movies/dead-mans-burden-directed-by-jared-moshe.html,,,,,,,2013-05-03,2013-05-02,"In “Dead Man’s Burden,” a woman and her husband wring a living from her family’s parched homestead, watched over by the accumulating graves of her unlucky kin."
10,NICOLE HERRINGTON,0,2017-11-02 04:18:16,Aroused,"Sex Stars as People, With Dreams and Worries",Read the New York Times Review of Aroused,article,http://www.nytimes.com/2013/05/03/movies/aroused-a-documentary-by-deborah-anderson.html,,,,,,,2013-05-03,2013-05-02,"“Aroused,” a documentary directed by Deborah Anderson, sets out to humanize female pornography stars."
11,STEPHEN HOLDEN,0,2017-11-02 04:18:16,1st Night,"It’s Tough to Keep a Tune, but Easy to Fall in Love",Read the New York Times Review of 1st Night,article,http://www.nytimes.com/2013/05/03/movies/1st-night-directed-by-christopher-menaul.html,Not Rated,,,,,,2013-05-03,2013-05-02,"Mozart’s comic opera “Così Fan Tutte” inspires a subplot in the movie “1st Night,” directed by Christopher Menaul."
12,A. O. SCOTT,1,2017-11-02 04:18:16,Mud,"Hiding From Trouble, Found by Innocents",Read the New York Times Review of Mud,article,http://www.nytimes.com/2013/04/26/movies/mud-stars-matthew-mcconaughey-and-reese-witherspoon.html,PG-13,,,,,,2013-05-10,2013-04-25,"In Jeff Nichols’s third feature, two Arkansas boys discover a boat on an overgrown island in the Mississippi River, and also discover the leathery loner who inhabits it."
13,NICOLAS RAPOLD,1,2017-11-02 04:18:16,An Oversimplification of Her Beauty,"Young Love, the Unrequited Type",Read the New York Times Review of An Oversimplification of Her Beauty,article,http://www.nytimes.com/2013/04/26/movies/an-oversimplification-of-her-beauty-by-terence-nance.html,,,,,,,2013-04-12,2013-04-25,"Terence Nance writes, directs and acts in “An Oversimplification of Her Beauty,” his film about the sweet romantic tension between two close friends."
14,JEANNETTE CATSOULIS,0,2017-11-02 04:18:16,The Numbers Station,Dangerous Mission in Tight Quarters,Read the New York Times Review of The Numbers Station,article,http://www.nytimes.com/2013/04/26/movies/the-numbers-station-directed-by-kasper-barfoed.html,R,,,,,,2013-04-26,2013-04-25,"“The Numbers Station,” a spy drama starring John Cusack and Malin Akerman, unfolds in a concrete bunker."
15,STEPHEN HOLDEN,0,2017-11-02 04:18:16,The Big Wedding,"Coupling, Uncoupling, Dissembling, Recoupling",Read the New York Times Review of The Big Wedding,article,http://www.nytimes.com/2013/04/26/movies/the-big-wedding-a-farce-with-keaton-and-de-niro.html,R,,,,,,2013-04-26,2013-04-25,"A sex farce that centers on a wedding, with stars including Diane Keaton, Robert De Niro, Katherine Heigl and Susan Sarandon."
16,A. O. SCOTT,0,2017-11-02 04:18:16,Paradise: Love,"Stripped of Clothes, Dignity and Maybe Shame",Read the New York Times Review of Paradise: Love,article,http://www.nytimes.com/2013/04/26/movies/paradise-love-first-in-a-trilogy-directed-by-ulrich-seidl.html,Not Rated,,,,,,2013-04-26,2013-04-25,"In “Paradise: Love,” a middle-age single mother in Austria treats herself to a birthday trip to a coastal resort in Kenya."
17,A. O. SCOTT,0,2017-11-02 04:18:16,Pain & Gain,"The Thick Have Their Needs, Too",Read the New York Times Review of Pain & Gain,article,http://www.nytimes.com/2013/04/26/movies/michael-bays-pain-gain-with-mark-wahlberg.html,R,,,,,,2013-04-26,2013-04-25,"Michael Bay’s “Pain & Gain,” a more modest venture than his usual blockbusters, chronicles the true-crime doings of three Miami personal trainers."
18,MANOHLA DARGIS,0,2017-11-02 04:18:16,Kon-Tiki,"Ja, That Manly Raft Trip, Blond Manes a-Whipping",Read the New York Times Review of Kon-Tiki,article,http://www.nytimes.com/2013/04/26/movies/kon-tiki-directed-by-joachim-roenning-and-espen-sandberg.html,PG-13,,,,,,2013-04-26,2013-04-25,“Kon-Tiki” dramatizes Thor Heyerdahl’s celebrated 1947 trip across the Pacific aboard a wooden raft.
19,MANOHLA DARGIS,0,2017-11-02 04:18:16,Oblivion,"After the Apocalypse, Things Go Downhill",Read the New York Times Review of Oblivion,article,http://www.nytimes.com/2013/04/19/movies/oblivion-with-tom-cruise.html,PG-13,,,,,,2013-04-19,2013-04-18,"In “Oblivion,” Tom Cruise is a repairman on a post-apocalyptic Earth who finds himself confronting a stranger-than-usual work order."
0,ANDY WEBSTER,0,2017-11-02 04:18:16,Scary Movie 5,When Small Appliances Misbehave,Read the New York Times Review of Scary Movie 5,article,http://www.nytimes.com/2013/04/13/movies/scary-movie-v-starring-ashley-tisdale.html,PG-13,,,,,,2013-04-12,2013-04-12,"The newest episode of the parody franchise “Scary Movie” mines “Paranormal Activity,” “Black Swan” and “Rise of the Planet of the Apes” for a few laughs."
1,STEPHEN HOLDEN,1,2017-11-02 04:18:17,Disconnect,Horror at Every Turn of a Dark Cyberjungle,Read the New York Times Review of Disconnect,article,http://www.nytimes.com/2013/04/12/movies/disconnect-directed-by-henry-alex-rubin.html,R,,,,,,2013-07-05,2013-04-11,"“Disconnect,” with Jason Bateman and Hope Davis, offers a montage of overlapping stories about thievery, humiliation and exposed secrets on the Internet."
2,A. O. SCOTT,0,2017-11-02 04:18:16,42,That Rookie at First Is in a New Position,Read the New York Times Review of 42,article,http://www.nytimes.com/2013/04/12/movies/42-with-chadwick-boseman-as-jackie-robinson.html,PG-13,,,,,,2013-04-12,2013-04-11,"“42,” Brian Helgeland’s new film about Jackie Robinson, is blunt, simple and sentimental, using time-tested methods to teach a clear and rousing lesson."
3,JEANNETTE CATSOULIS,1,2017-11-02 04:18:17,Stranger Things,Two Lonely Souls in Temporary Shelter,Read the New York Times Review of Stranger Things,article,http://www.nytimes.com/2013/04/05/movies/stranger-things-from-eleanor-burke-and-ron-eyal.html,,,,,,,2013-06-11,2013-04-04,"In “Stranger Things,” a young woman arrives in an English seaside village to clear out her dead mother’s house, and finds an unexpected resident."
4,DANIEL M. GOLD,0,2017-11-02 04:18:16,The Story of Luke,Young Man’s Wobbly Steps to Independence,Read the New York Times Review of The Story of Luke,article,http://www.nytimes.com/2013/04/05/movies/the-story-of-luke-by-alonso-mayo.html,,,,,,,2013-04-05,2013-04-04,In “The Story of Luke” a high-functioning autistic man faces enormous changes to his sheltered life.
5,NICOLAS RAPOLD,0,2017-11-02 04:18:16,The Brass Teapot,Be Careful What You Wish For,Read the New York Times Review of The Brass Teapot,article,http://www.nytimes.com/2013/04/05/movies/the-brass-teapot-by-ramaa-mosley.html,R,,,,,,2013-04-15,2013-04-04,An ancient kettle with magical powers tests a broke couple’s bond in Ramaa Mosley’s modern fable about money.
6,STEPHEN HOLDEN,0,2017-11-02 04:18:16,The Company You Keep,Remembering the Side of the ’60s That Wasn’t All Peace and Love,Read the New York Times Review of The Company You Keep,article,http://www.nytimes.com/2013/04/05/movies/robert-redfords-company-you-keep-revisits-radical-60s.html,R,,,,,,2013-04-26,2013-04-04,"Robert Redford’s “Company You Keep,” which also features Julie Christie and Susan Sarandon, follows 1960s radicals in later life."
7,NICOLAS RAPOLD,0,2017-11-02 04:18:16,Free Angela & All Political Prisoners,A Radical Beatified,Read the New York Times Review of Free Angela & All Political Prisoners,article,http://www.nytimes.com/2013/04/05/movies/free-angela-and-all-political-prisoners-by-shola-lynch.html,Not Rated,,,,,,2013-04-05,2013-04-04,“Free Angela and All Political Prisoners” is Shola Lynch’s documentary about the scholar and activist Angela Davis and her 1972 murder trial.
8,JEANNETTE CATSOULIS,0,2017-11-02 04:18:16,Eddie: The Sleepwalking Cannibal,Washed-Up Artist Meets His Dark Muse,Read the New York Times Review of Eddie: The Sleepwalking Cannibal,article,http://www.nytimes.com/2013/04/05/movies/eddie-the-sleepwalking-cannibal-from-boris-rodriguez.html,Not Rated,,,,,,2013-04-05,2013-04-04,"“Eddie: The Sleepwalking Carnival,” a horror comedy from Boris Rodriguez, centers on a once-famous artist whose creative fires are stoked by his houseguest’s very strange habits."
9,RACHEL SALTZ,0,2017-11-02 04:18:16,Himmatwala,Disco and Villains in 1983 Bollywood,Read the New York Times Review of Himmatwala,article,http://www.nytimes.com/2013/04/01/movies/himmatwala-a-bollywood-disco-remake.html,Not Rated,,,,,,2013-03-29,2013-03-31,“Himmatwala” is a remake of a Bollywood disco film from 30 years ago.
10,ANDY WEBSTER,0,2017-11-02 04:18:16,Tyler Perry's Temptation: Confessions of a Marriage Counselor,"Charisma, Wealth, Flattery. How Can She Resist?",Read the New York Times Review of Tyler Perry's Temptation: Confessions of a Marriage Counselor,article,http://www.nytimes.com/2013/03/30/movies/temptation-directed-by-tyler-perry.html,PG-13,,,,,,2013-03-29,2013-03-29,"In “Temptation: Confessions of a Marriage Counselor,” a moralizing film directed by Tyler Perry, a bored wife succumbs easily to the blandishments of a wealthy man."
11,NICOLAS RAPOLD,0,2017-11-02 04:18:16,The Revolutionary Optimists,Old Enough to See the Glass as Half-Full,Read the New York Times Review of The Revolutionary Optimists,article,http://www.nytimes.com/2013/03/29/movies/the-revolutionary-optimists.html,,,,,,,2013-03-29,2013-03-28,Children in India campaign for a proper water-delivery system in “Revolutionary Optimists.”
12,A. O. SCOTT,0,2017-11-02 04:18:16,The Place Beyond the Pines,"Good Intentions, Paving the Usual",Read the New York Times Review of The Place Beyond the Pines,article,http://www.nytimes.com/2013/03/29/movies/the-place-beyond-the-pines-directed-by-derek-cianfrance.html,R,,,,,,2013-04-19,2013-03-28,"“The Place Beyond the Pines,” set in and around Schenectady, N.Y., is a tripartite tale in which the sins of the fathers are visited upon the sons."
13,NEIL GENZLINGER,0,2017-11-02 04:18:16,Somebody Up There Likes Me,"Dealing With a Lot, and Nothing at All",Read the New York Times Review of Somebody Up There Likes Me,article,http://www.nytimes.com/2013/03/29/movies/somebody-up-there-likes-me-directed-by-bob-byington.html,Not Rated,,,,,,2013-03-08,2013-03-28,In “Somebody Up There Likes Me” a young man with little ambition has two constants in his life.
14,MANOHLA DARGIS,0,2017-11-02 04:18:16,The Host,Fighting the Peacenik Alien Within Her,Read the New York Times Review of The Host,article,http://www.nytimes.com/2013/03/29/movies/saoirse-ronan-in-the-host-from-a-stephenie-meyer-novel.html,PG-13,,,,,,2013-03-29,2013-03-28,In “The Host” Saoirse Ronan seeks refuge from an alien race that has transformed most of the human population into smiling peaceniks.
15,STEPHEN HOLDEN,0,2017-11-02 04:18:16,Mental,The Nanny Arrives; Eccentricity Is Squared,Read the New York Times Review of Mental,article,http://www.nytimes.com/2013/03/29/movies/mental-directed-by-p-j-hogan.html,Not Rated,,,,,,2013-03-29,2013-03-28,In “Mental” a hitchhiker helps a man raise his troubled daughters after their mother is committed.
16,NEIL GENZLINGER,0,2017-11-02 04:18:16,G.I. Joe: Retaliation,The Joes Fight the Power,Read the New York Times Review of G.I. Joe: Retaliation,article,http://www.nytimes.com/2013/03/29/movies/gi-joe-retaliation-directed-by-jon-m-chu.html,PG-13,,,,,,2013-03-28,2013-03-28,Noise and heavy weaponry are major players in this follow-up to “G.I. Joe: Rise of the Cobra.”
17,ANDY WEBSTER,0,2017-11-02 04:18:16,Family Weekend,Is Domestic Bliss Too Much to Ask?,Read the New York Times Review of Family Weekend,article,http://www.nytimes.com/2013/03/29/movies/family-weekend-directed-by-benjamin-epps.html,R,,,,,,2013-03-29,2013-03-28,"Olesya Rulin stars in “Family Weekend,” a comedy about a high school athlete who tries to make her family “normal.”"
18,ANITA GATES,0,2017-11-02 04:18:14,Code of the West,A Fighting Mood Over Marijuana in Montana,Read the New York Times Review of Code of the West,article,http://www.nytimes.com/2013/03/29/movies/code-of-the-west-directed-by-rebecca-richman-cohen.html,,,,,,,2012-03-12,2013-03-28,The 2010 campaign to repeal Montana’s legalization of medical marijuana is the subject of the documentary “Code of the West.”
19,NEIL GENZLINGER,0,2017-11-02 04:18:16,The Croods,There’s Something About That Boy,Read the New York Times Review of The Croods,article,http://www.nytimes.com/2013/03/22/movies/the-croods-with-the-voice-of-emma-stone.html,PG,,,,,,2013-03-22,2013-03-21,"“The Croods” is an animated comedy about a Stone Age family, starring the voice of Emma Stone."
0,ANDY WEBSTER,0,2017-11-02 04:18:16,Silver Circle,Apocalypse Fed,Read the New York Times Review of Silver Circle,article,http://www.nytimes.com/2013/03/22/movies/silver-circle-directed-by-pasha-roberts.html,PG-13,,,,,,2013-03-22,2013-03-21,"“Silver Circle,” directed by Pasha Roberts, is set in a post-apocalyptic world brought on by the Federal Reserve’s monetary policies."
1,A. O. SCOTT,0,2017-11-02 04:18:16,Olympus Has Fallen,"He’s Weary, but Psyched to Save Democracy",Read the New York Times Review of Olympus Has Fallen,article,http://www.nytimes.com/2013/03/22/movies/olympus-has-fallen-starring-gerard-butler.html,R,,,,,,2013-03-22,2013-03-21,"In the “Die Hard” tradition, the lead character in “Olympus Has Fallen” is a world-weary professional battling evil amid pyrotechnics."
2,DANIEL M. GOLD,0,2017-11-02 04:18:16,MURPH: The Protector,Posthumous Salute to a SEAL Team Leader,Read the New York Times Review of MURPH: The Protector,article,http://www.nytimes.com/2013/03/22/movies/murph-the-protector-a-documentary-about-a-navy-seal.html,PG,,,,,,2013-03-22,2013-03-21,"“Murph: The Protector” is a documentary about Lt. Michael P. Murphy, the SEAL team leader awarded the Medal of Honor posthumously in 2007."
3,JEANNETTE CATSOULIS,0,2017-11-02 04:18:16,Come Out and Play,Alone in an Island of Creepy Kids,Read the New York Times Review of Come Out and Play,article,http://www.nytimes.com/2013/03/22/movies/makinovs-come-out-and-play.html,R,,,,,,2013-03-22,2013-03-21,“Come Out and Play” is the Belarussian director Makinov’s debut feature about feral children on an island.
