,byline,critics_pick,date_updated,display_title,headline,link.suggested_link_text,link.type,link.url,mpaa_rating,multimedia,multimedia.height,multimedia.src,multimedia.type,multimedia.width,opening_date,publication_date,summary_short
11,GLENN KENNY,0,2017-11-02 04:18:26,Assassin’s Creed,Review: ‘Assassin’s Creed’ Whisks Michael Fassbender to 1492 Spain,Read the New York Times Review of Assassin’s Creed,article,http://www.nytimes.com/2016/12/20/movies/assassins-creed-review-michael-fassbender.html,PG-13,,140.0,https://static01.nyt.com/images/2016/12/21/arts/21ASSASSINJP/21ASSASSINJP-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-12-21,2016-12-20,Mr. Fassbender plays a convict who experiences the actions of his assassin ancestor in this time-bending film based on the video game of the same name.
12,STEPHEN HOLDEN,0,2017-11-02 04:18:26,Passengers,Review: Two ‘Passengers’ Trapped on a Spaceship Find Love Amid Despair,Read the New York Times Review of Passengers,article,http://www.nytimes.com/2016/12/20/movies/passengers-review-jennifer-lawrence-chris-pratt.html,PG-13,,140.0,https://static01.nyt.com/images/2016/12/21/arts/21PASSENGERS/21PASSENGERS-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-12-21,2016-12-20,Jennifer Lawrence stars in this interplanetary romance aboard a mechanically doomed spacecraft making a 120-year voyage.
13,GLENN KENNY,0,2017-11-02 04:18:26,Sing,Review: ‘Sing’ Gives Animated Belters a Stage,Read the New York Times Review of Sing,article,http://www.nytimes.com/2016/12/20/movies/sing-review-matthew-mcconaughey.html,PG,,140.0,https://static01.nyt.com/images/2016/12/21/arts/21SING-SUB/21SING-SUB-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-12-21,2016-12-20,"In this cartoon musical directed by Garth Jennings, a koala voiced by Matthew McConaughey tries to revive his fortunes with a singing competition."
14,A. O. SCOTT,1,2017-11-02 04:18:26,Fences,"Review: Beneath the Bombast, ‘Fences’ Has an Aching Poetry",Read the New York Times Review of Fences,article,http://www.nytimes.com/2016/12/15/movies/fences-review-denzel-washington-viola-davis.html,PG-13,,140.0,https://static01.nyt.com/images/2016/12/16/arts/16FENCES/16FENCES-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-12-25,2016-12-15,"Starring Denzel Washington, who also directed, and Viola Davis, this film adaptation of August Wilson’s play features performances of unmatched force."
15,A. O. SCOTT,0,2017-11-02 04:18:26,Neruda,Review: ‘Neruda’ Pursues the Poet as Fugitive,Read the New York Times Review of Neruda,article,http://www.nytimes.com/2016/12/15/movies/neruda-review-gael-garcia-bernal.html,R,,140.0,https://static01.nyt.com/images/2016/12/16/arts/16NERUDA2/16NERUDA2-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-12-16,2016-12-15,Pablo Larraín’s biopic about the Chilean poet pits the state versus the sensual.
16,MANOHLA DARGIS,0,2017-11-02 04:18:26,Collateral Beauty,Review: Lots of Plastic in the Face of ‘Collateral Beauty’,Read the New York Times Review of Collateral Beauty,article,http://www.nytimes.com/2016/12/15/movies/collateral-beauty-review-will-smith.html,PG-13,,140.0,https://static01.nyt.com/images/2016/12/16/arts/16COLLATERAL1/16COLLATERAL1-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-12-16,2016-12-15,"The movie, starring Will Smith, riffs on “A Christmas Carol” as it tells a story of a man who experiences the loss of a child."
17,STEPHEN HOLDEN,0,2017-11-02 04:18:26,Short Stay,"Review: A ‘Short Stay,’ but Long Stuck in a Rut",Read the New York Times Review of Short Stay,article,http://www.nytimes.com/2016/12/15/movies/short-stay-review.html,,,140.0,https://static01.nyt.com/images/2016/12/16/arts/16SHORTSTAY/16SHORTSTAY-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-12-16,2016-12-15,"This Ted Fendt film centers on a young man who gets a small jolt, but still can’t escape from his drab existence."
18,GLENN KENNY,0,2017-11-02 04:18:26,Two Lovers and a Bear,Review: ‘Two Lovers and a Bear’ Walk Onto Some Arctic Ice,Read the New York Times Review of Two Lovers and a Bear,article,http://www.nytimes.com/2016/12/15/movies/two-lovers-and-a-bear-review.html,R,,140.0,https://static01.nyt.com/images/2016/12/16/arts/16TWOLOVERS1/16TWOLOVERS1-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-12-16,2016-12-15,"Kim Nguyen’s film focuses on a pair of damaged young souls enveloped in beauty, absurdity and, despite the cold air, a lot of overheated romanticism."
19,BEN KENIGSBERG,0,2017-11-02 04:18:26,The Wasted Times,"Review: ‘The Wasted Times,’ a Hopscotching Shanghai Crime Tale",Read the New York Times Review of The Wasted Times,article,http://www.nytimes.com/2016/12/15/movies/the-wasted-times-review.html,Not Rated,,140.0,https://static01.nyt.com/images/2016/12/16/arts/16WASTED/16WASTED-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-12-16,2016-12-15,"Cheng Er’s gangland drama unwinds nonchronologically, like episodes of a mini-series shown out of order."
0,A. O. SCOTT,0,2017-11-02 04:18:26,Rogue One: A Star Wars Story,Review: ‘Rogue One’ Leaves ‘Star Wars’ Fans Wanting More and Less,Read the New York Times Review of Rogue One: A Star Wars Story,article,http://www.nytimes.com/2016/12/13/movies/star-wars-rogue-one-review.html,PG-13,,140.0,https://static01.nyt.com/images/2016/12/14/arts/14ROGUEONE1/14ROGUEONE1-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-12-16,2016-12-13,"This film, masquerading as a heroic tale of rebellion, falls short of the insurgent energy of its predecessors in the franchise."
1,A. O. SCOTT,1,2017-11-02 04:18:26,La La Land,Review: Ryan Gosling and Emma Stone Aswirl in Tra La La Land,Read the New York Times Review of La La Land,article,http://www.nytimes.com/2016/12/08/movies/la-la-land-review-ryan-gosling-emma-stone.html,PG-13,,140.0,https://static01.nyt.com/images/2016/12/09/arts/9WEEKENDARTS1COVER1/9WEEKENDARTS1COVER1-mediumThreeByTwo210-v3.jpg,mediumThreeByTwo210,210.0,2016-12-16,2016-12-08,Ms. Stone and Mr. Gosling sing and dance their way to art and love in Damien Chazelle’s new movie.
2,STEPHEN HOLDEN,0,2017-11-02 04:18:26,All We Had,"Review: Katie Holmes Directs Her First Feature, ‘All We Had’",Read the New York Times Review of All We Had,article,http://www.nytimes.com/2016/12/08/movies/all-we-had-review-katie-holmes.html,,,140.0,https://static01.nyt.com/images/2016/12/09/arts/09ALLIHAD/09ALLIHAD-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-12-09,2016-12-08,"A teenage girl and her downtrodden mother struggle to build a normal life, but any progress they make seems to unravel."
3,MANOHLA DARGIS,0,2017-11-02 04:18:26,Frank & Lola,"Review: ‘Frank & Lola,’ Retreading Old Ground",Read the New York Times Review of Frank & Lola,article,http://www.nytimes.com/2016/12/08/movies/frank-and-lola-review-michael-shannon-imogen-poots.html,Not Rated,,140.0,https://static01.nyt.com/images/2016/12/09/arts/09FRANKLOLA/09FRANKLOLA-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-12-09,2016-12-08,"Frankie and Johnny’s story returns, written and directed by Matthew Ross, but not much has changed except the actors and how well they fit together."
4,NEIL GENZLINGER,0,2017-11-02 04:18:26,Beyond the Gates,"Review: A Trip to Hell, via the VCR, in ‘Beyond the Gates’",Read the New York Times Review of Beyond the Gates,article,http://www.nytimes.com/2016/12/08/movies/beyond-the-gates-review.html,,,140.0,https://static01.nyt.com/images/2016/12/09/arts/09BEYOND/09BEYOND-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-12-09,2016-12-08,"In this horror movie, two brothers play an old-school board game with a videotape and run into Barbara Crampton of “Re-Animator.”"
5,NEIL GENZLINGER,0,2017-11-02 04:18:26,Burn Country,Review: An Afghan in a Strange Land (California) in ‘Burn Country’,Read the New York Times Review of Burn Country,article,http://www.nytimes.com/2016/12/08/movies/burn-country-review.html,,,140.0,https://static01.nyt.com/images/2016/12/09/arts/09BURN/09BURN-mediumThreeByTwo210-v2.jpg,mediumThreeByTwo210,210.0,2016-12-09,2016-12-08,"A former assistant to a war journalist resettles in small-town America, where culture clashes turn mysterious and dangerous."
6,NEIL GENZLINGER,0,2017-11-02 04:18:26,Harry Benson: Shoot First,"Review: ‘Harry Benson: Shoot First,’ on Photographing the Beatles and Others",Read the New York Times Review of Harry Benson: Shoot First,article,http://www.nytimes.com/2016/12/08/movies/harry-benson-shoot-first-review.html,Not Rated,,140.0,https://static01.nyt.com/images/2016/12/09/arts/09HARRY1/09HARRY1-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-12-09,2016-12-08,"This adulatory profile focuses on a photojournalist who has documented many high-profile figures, but it skips some hard questions."
7,NEIL GENZLINGER,0,2017-11-02 04:18:26,Office Christmas Party,Review: You’ve Got to Fight for Your Right to an ‘Office Christmas Party’,Read the New York Times Review of Office Christmas Party,article,http://www.nytimes.com/2016/12/08/movies/office-christmas-party-review-tj-miller-jennifer-aniston.html,R,,140.0,https://static01.nyt.com/images/2016/12/09/arts/09OFFICE/09OFFICE-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-12-09,2016-12-08,"Directed by Josh Gordon and Will Speck, this bawdy comedy is full of familiar faces, including Kate McKinnon and Courtney B. Vance, behaving badly."
