,title,sentiment_polarity
0,Avatar,0.13116318257765625
1,Pirates of the Caribbean: At World's End,0.03354499072356215
2,The Dark Knight Rises,0.05730272252999521
3,John Carter,0.19854417670682728
4,Spider-Man 3,0.1548164636051234
5,Tangled,0.09732794211960878
6,Batman v Superman: Dawn of Justice,0.06731704803133376
7,Superman Returns,0.07960430753819184
8,The Lone Ranger,0.04863534902597401
9,The Avengers,0.08674034299034297
10,The Avengers,0.08674034299034297
11,Pirates of the Caribbean: On Stranger Tides,0.14297376965140124
12,Men in Black 3,0.025237214336051552
13,The Amazing Spider-Man,0.17240275256404292
14,Titanic,0.1975160561948128
15,Captain America: Civil War,0.11449951283284611
16,Battleship,0.12595811051693404
17,Jurassic World,0.05833132916466251
18,Spider-Man 2,0.09030331510594668
19,Alice in Wonderland,0.07221787090343793
20,Monsters University,0.12177150974025978
21,Transformers: Revenge of the Fallen,0.08400406487755889
22,Transformers: Age of Extinction,0.01617630385487528
23,Oz: The Great and Powerful,0.17887301587301596
24,The Amazing Spider-Man 2,0.12387990549755255
25,Cars 2,0.1219854863333124
26,Green Lantern,0.024061061293204147
27,Toy Story 3,0.1510563973063973
28,World War Z,0.10740300487135927
29,Star Trek Into Darkness,0.12565149372080062
30,The Great Gatsby,0.14210424561664234
31,Prince of Persia: The Sands of Time,0.11286833855799372
32,Pacific Rim,0.09012618155876578
33,Transformers: Dark of the Moon,0.02970338277541667
34,Indiana Jones and the Kingdom of the Crystal Skull,0.1303020302030203
35,The Good Dinosaur,0.17788658474142338
36,Brave,0.17898854203900072
37,Star Trek Beyond,0.1125209116280545
38,Rush Hour 3,0.0018286311389759898
39,Jupiter Ascending,0.1482165150704476
40,X-Men: Apocalypse,0.1145450036075036
41,Up,0.17256737130113745
42,Iron Man,0.11162250815028595
43,Wild Wild West,0.10142705166069642
44,Suicide Squad,0.11069696969696967
45,Evan Almighty,0.15922291092745638
46,Waterworld,0.10681915595978098
47,Inside Out,0.12795044461711133
48,Iron Man 2,0.06049048039339301
49,Snow White and the Huntsman,0.129082325983809
50,Maleficent,0.15086111937256969
51,Dawn of the Planet of the Apes,0.12750678897821752
52,47 Ronin,-0.005002088554720136
53,Captain America: The Winter Soldier,0.13426190578968353
54,Shrek Forever After,0.13559071729957808
55,Tomorrowland,0.16244260789715326
56,Big Hero 6,0.11788465891407067
57,Wreck-It Ralph,0.02382908562486028
58,Independence Day: Resurgence,0.13876446058649447
59,How to Train Your Dragon,0.14132846320346318
60,The Curious Case of Benjamin Button,0.18301939107724224
61,X-Men: First Class,0.020426716141001864
62,The Sorcerer's Apprentice,0.08726169663669667
63,Poseidon,0.13556488801054015
64,Shrek the Third,0.11788888888888886
65,The Chronicles of Narnia: The Voyage of the Dawn Treader,0.10701328763828762
66,Pearl Harbor,0.07439510872269496
67,Transformers,0.03359778866357814
68,Hancock,0.1204713804713805
69,I Am Legend,0.11298713883016208
70,Ratatouille,0.21105808080808075
71,Madagascar: Escape 2 Africa,0.08271562745246956
72,Night at the Museum: Battle of the Smithsonian,0.17388436604854512
73,X-Men Origins: Wolverine,0.05351000495231265
74,The Matrix Revolutions,0.059265183789640304
75,Frozen,0.11628960841289607
76,Frozen,0.11628960841289607
77,Thor: The Dark World,-0.007796972419613931
78,Thor,0.11593648967066689
79,Bolt,0.113600332594235
80,G-Force,0.061499552872792296
81,Bee Movie,0.1392454642735541
82,Kung Fu Panda 2,0.08767605633802816
83,The Last Airbender,0.08051327088212334
84,White House Down,0.06915844957511624
85,Mars Needs Moms,0.22101449275362314
86,Pan,0.10590225563909776
87,Mr. Peabody & Sherman,0.07320555127932178
88,Troy,0.1052513227513227
89,Madagascar 3: Europe's Most Wanted,0.21452020202020203
90,Ghostbusters,0.20780479210711764
91,Armageddon,0.13743848257006155
92,Men in Black II,0.05514605514605514
93,Beowulf,0.13028716429201864
94,Rise of the Guardians,0.050420099613648
95,Spider-Man,0.1492418495958319
96,How to Train Your Dragon 2,0.09063303845912543
97,Stealth,0.1206836219336219
98,Watchmen,-0.0018974059794372312
99,Lethal Weapon 4,0.07631717171717173
100,G.I. Joe: Retaliation,0.033134920634920635
101,Captain America: The First Avenger,0.16183047079388543
102,Master and Commander: The Far Side of the World,0.1320293124954142
103,The Incredible Hulk,0.1431552583502125
104,Turbo,0.10511019283746555
105,Rango,0.11858234198751438
106,Penguins of Madagascar,0.05712011418533157
107,Kung Fu Panda,0.15540987171124157
108,Ant-Man,0.13196897546897549
109,The Hunger Games: Catching Fire,0.17858421881149156
110,Home,0.16430785123966943
111,Bad Boys II,-0.06120670995670995
112,Salt,0.03358389085661812
113,Noah,0.10795827735482906
114,After Earth,0.10258503401360544
115,Dinosaur,0.1418567251461988
116,Megamind,0.021744570441378955
117,R.I.P.D.,0.06254689754689756
118,Pirates of the Caribbean: The Curse of the Black Pearl,0.1021858623832308
119,The Da Vinci Code,0.11332661025842841
120,Rio 2,0.13749999999999998
121,Fast Five,0.06819807735300693
122,Sherlock Holmes: A Game of Shadows,-0.05935517970401692
123,Clash of the Titans,0.17727089294885906
124,Total Recall,0.04712878196484754
125,Total Recall,0.04712878196484754
126,The 13th Warrior,0.04847535505430242
127,The Bourne Legacy,0.0793327179356591
128,The Day After Tomorrow,0.1350093795093795
129,The Perfect Storm,0.18787775716347144
130,Life of Pi,0.18431722689075627
131,Ghost Rider,0.18911111111111112
132,Charlie's Angels: Full Throttle,0.11024982911825017
133,Stuart Little 2,0.06503062247337055
134,Elysium,0.08813148329657763
135,The Chronicles of Riddick,-0.03360791458892724
136,How Do You Know,0.1443272252861294
137,Knight and Day,0.09667303546933177
138,Oblivion,0.09159174159174163
139,"Monsters, Inc.",0.13718060064935064
140,Star Wars: Episode I - The Phantom Menace,0.15912433155080222
141,The Croods,0.1480108971488282
142,Windtalkers,0.10469576719576715
143,Teenage Mutant Ninja Turtles,0.07417794970986462
144,Dante's Peak,0.10692968647514099
145,Fantastic Four,0.08362264329477447
146,Night at the Museum,0.11164543562084546
147,Gulliver's Travels,0.11816742654508612
148,The Green Hornet,0.08004891394837045
149,The Smurfs,-0.003073593073593079
150,Home on the Range,0.04420255183413078
151,Allegiant,-0.06517857142857143
152,The Smurfs 2,0.11120657120657122
153,Speed 2: Cruise Control,0.2266050333846944
154,Ender's Game,-0.0001247165532879838
155,Ali,0.10305937068526996
